id,name,description,character,level,image,juice,type
0,SAD POEM,Inflicts SAD on a friend or foe,OMORI,1,https://static.wikia.nocookie.net/omori/images/0/0b/Sad_Poem_%28Omori%29.gif,5,spell
1,GUARD,"Acts first, reducing damage taken for 1 turn",OMORI,1,null,0,defend
2,STAB,Always deals a critical hit.\nIgnores DEFENSE when OMORI is sad,OMORI,3,https://static.wikia.nocookie.net/omori/images/c/c4/Stab_%28Omori%29.gif,13,attack
3,BREAD SLICE,"If this skill defeats a foe, gain BREAD",OMORI,5,https://static.wikia.nocookie.net/omori/images/2/24/Bread_Slice_%28Omori%29.gif,10,attack
4,MOCK,"Deals damage.\nIf the foe is ANGRY, greatly reduce its ATTACK",OMORI,7,https://static.wikia.nocookie.net/omori/images/e/e4/Mock_%28Omori%29.gif,20,attack
5,HACK AWAY,"Attacks 3 times, hitting random foes.",OMORI,10,https://static.wikia.nocookie.net/omori/images/8/87/Hack_Away_%28Omori%29.gif,30,attack
6,OBSERVE,Predicts who a foe will target next turn.,OMORI,null,https://static.wikia.nocookie.net/omori/images/2/27/Observe_%28Omori%29.gif,0,spell
7,LUCKY SLICE,"Acts first, An attack that’s stronger when OMORI is HAPPY.",OMORI,12,https://static.wikia.nocookie.net/omori/images/9/99/Lucky_Slice_%28Omori%29.gif,15,attack
8,TRICK,"Deals damage. If the foe is HAPPY, greatly reduce its SPEED",OMORI,15,https://static.wikia.nocookie.net/omori/images/d/db/Trick_%28Omori%29.gif,20,attack
9,PAINFUL TRUTH,Deals damage to a foe. OMORI and the foe become sad.,OMORI,19,https://static.wikia.nocookie.net/omori/images/c/c5/Painful_Truth_%28Omori%29.gif,10,attack
10,SHUN,"Deals damage. If the foe is SAD, greatly reduce its DEFENSE.",OMORI,20,https://static.wikia.nocookie.net/omori/images/d/df/Shun_%28Omori%29.gif,20,attack
11,STARE,Reduces all of a foe’s STATS.,OMORI,25,https://static.wikia.nocookie.net/omori/images/5/51/Stare_%28Omori%29.gif,45,spell
12,EXPLOIT,"Deals extra damage to a HAPPY, SAD, or ANGRY foe.",OMORI,30,https://static.wikia.nocookie.net/omori/images/3/38/Attack_%28Solid%29.gif,30,attack
13,FINAL STRIKE,"Strikes all foes, Deals more damage if OMORI has a higher stage of EMOTION.",OMORI,50,https://static.wikia.nocookie.net/omori/images/7/7e/Final_Strike_%28Omori%29.gif,35,attack
14,PEP TALK,Makes a friend or foe HAPPY,AUBREY,0,https://static.wikia.nocookie.net/omori/images/e/e9/Pep_Talk_%28Aubrey%29.gif,5,spell
15,HEADBUTT,"Deals big damage, but AUBREY also takes damage up to 20% of her HEARTS. Stronger when AUBREY is ANGRY",AUBREY,null,null,5,attack
16,COUNTER,"All foes target AUBREY for 1 turn, if AUBREY is attacked, she attacks.",AUBREY,6,https://static.wikia.nocookie.net/omori/images/b/bc/Attack_%28Aubrey%29.gif,5,attack
17,TWIRL,AUBREY attacks a foe and becomes HAPPY.,AUBREY,10,https://static.wikia.nocookie.net/omori/images/5/59/Twirl_%28Aubrey%29.gif,10,attack
